Downregulated,Upregulated
ENSMUSG00000028919,ENSMUSG00000061132
ENSMUSG00000048728,ENSMUSG00000033955
ENSMUSG00000046417,ENSMUSG00000046269
ENSMUSG00000121023,ENSMUSG00000053746
ENSMUSG00000059049,ENSMUSG00000050271
ENSMUSG00000085933,ENSMUSG00000006050
ENSMUSG00000052698,ENSMUSG00000031812
ENSMUSG00000120023,ENSMUSG00000053291
ENSMUSG00000041695,ENSMUSG00000062232
ENSMUSG00000018169,ENSMUSG00000052310
ENSMUSG00000090093,ENSMUSG00000083449
ENSMUSG00000064065,ENSMUSG00000070420
ENSMUSG00000074793,ENSMUSG00000020089
ENSMUSG00000086596,ENSMUSG00000030968
ENSMUSG00000055373,ENSMUSG00000020015
ENSMUSG00000110419,ENSMUSG00000098120
ENSMUSG00000026156,ENSMUSG00000070462
ENSMUSG00000044345,ENSMUSG00000033863
ENSMUSG00000116903,ENSMUSG00000040875
ENSMUSG00000054517,ENSMUSG00000030265
ENSMUSG00000051515,ENSMUSG00000090119
ENSMUSG00000047586,ENSMUSG00000083822
ENSMUSG00000121350,ENSMUSG00000024812
ENSMUSG00000108738,ENSMUSG00000025176
ENSMUSG00000018698,ENSMUSG00000029178
ENSMUSG00000044595,ENSMUSG00000073940
ENSMUSG00000041248,ENSMUSG00000020458
ENSMUSG00000072763,ENSMUSG00000043284
ENSMUSG00000087088,ENSMUSG00000118140
ENSMUSG00000113170,ENSMUSG00000080717
ENSMUSG00000033726,ENSMUSG00000024561
ENSMUSG00000110206,ENSMUSG00000028869
ENSMUSG00000021175,ENSMUSG00000034311
ENSMUSG00000036298,ENSMUSG00000046432
ENSMUSG00000114354,ENSMUSG00000040624
ENSMUSG00000091764,ENSMUSG00000085666
ENSMUSG00000120686,ENSMUSG00000056537
ENSMUSG00000097357,ENSMUSG00000024789
ENSMUSG00000097204,ENSMUSG00000109599
ENSMUSG00000097760,ENSMUSG00000054027
ENSMUSG00000037166,ENSMUSG00000064215
ENSMUSG00000017688,ENSMUSG00000061983
ENSMUSG00000111090,ENSMUSG00000089988
ENSMUSG00000068551,ENSMUSG00000082100
ENSMUSG00000004500,ENSMUSG00000063160
ENSMUSG00000032500,ENSMUSG00000036943
ENSMUSG00000044788,ENSMUSG00000005973
ENSMUSG00000102577,ENSMUSG00000024576
ENSMUSG00000027335,ENSMUSG00000024589
ENSMUSG00000109780,ENSMUSG00000020530
ENSMUSG00000048126,ENSMUSG00000033192
ENSMUSG00000090086,ENSMUSG00000001156
ENSMUSG00000043822,ENSMUSG00000071172
ENSMUSG00000084866,ENSMUSG00000104671
ENSMUSG00000021388,ENSMUSG00000103034
ENSMUSG00000090235,ENSMUSG00000021838
ENSMUSG00000020788,ENSMUSG00000026525
ENSMUSG00000079434,ENSMUSG00000121606
ENSMUSG00000024437,ENSMUSG00000051147
ENSMUSG00000029521,ENSMUSG00000032135
ENSMUSG00000084904,ENSMUSG00000005774
ENSMUSG00000037709,ENSMUSG00000071640
ENSMUSG00000045215,ENSMUSG00000118106
ENSMUSG00000047996,ENSMUSG00000081810
ENSMUSG00000104340,ENSMUSG00000057897
ENSMUSG00000104951,ENSMUSG00000020777
ENSMUSG00000121225,ENSMUSG00000033713
ENSMUSG00000014303,ENSMUSG00000115160
ENSMUSG00000026447,ENSMUSG00000121724
ENSMUSG00000048600,ENSMUSG00000035530
ENSMUSG00000078861,ENSMUSG00000032012
ENSMUSG00000024565,ENSMUSG00000068264
ENSMUSG00000071633,ENSMUSG00000024989
ENSMUSG00000111656,ENSMUSG00000021108
ENSMUSG00000061013,ENSMUSG00000036995
ENSMUSG00000038679,ENSMUSG00000005054
ENSMUSG00000120789,ENSMUSG00000075602
ENSMUSG00000090113,ENSMUSG00000020034
ENSMUSG00000081965,ENSMUSG00000035021
