Downregulated,Upregulated
ENSMUSG00000029675,ENSMUSG00000018008
ENSMUSG00000025271,ENSMUSG00000092116
ENSMUSG00000121283,ENSMUSG00000086583
ENSMUSG00000074785,ENSMUSG00000019868
ENSMUSG00000028088,ENSMUSG00000075376
ENSMUSG00000060548,ENSMUSG00000048706
ENSMUSG00000068551,ENSMUSG00000032698
ENSMUSG00000020131,ENSMUSG00000025132
ENSMUSG00000110827,ENSMUSG00000059586
ENSMUSG00000087611,ENSMUSG00000086629
ENSMUSG00000097617,ENSMUSG00000041488
ENSMUSG00000051427,ENSMUSG00000059498
ENSMUSG00000068876,ENSMUSG00000100018
ENSMUSG00000026489,ENSMUSG00000079020
ENSMUSG00000043993,ENSMUSG00000024949
ENSMUSG00000087241,ENSMUSG00000022338
ENSMUSG00000116508,ENSMUSG00000102135
ENSMUSG00000027699,ENSMUSG00000026596
ENSMUSG00000031618,ENSMUSG00000040021
ENSMUSG00000030157,ENSMUSG00000031715
ENSMUSG00000032470,ENSMUSG00000083097
ENSMUSG00000096971,ENSMUSG00000026577
ENSMUSG00000091898,ENSMUSG00000032562
ENSMUSG00000003123,ENSMUSG00000031314
ENSMUSG00000046470,ENSMUSG00000017615
ENSMUSG00000028497,ENSMUSG00000025580
ENSMUSG00000022571,ENSMUSG00000118552
ENSMUSG00000099858,ENSMUSG00000022617
ENSMUSG00000057286,ENSMUSG00000026078
ENSMUSG00000033720,ENSMUSG00000080921
ENSMUSG00000060261,ENSMUSG00000027714
ENSMUSG00000025732,ENSMUSG00000070372
ENSMUSG00000022388,ENSMUSG00000033706
ENSMUSG00000039167,ENSMUSG00000104649
ENSMUSG00000120789,ENSMUSG00000027163
ENSMUSG00000041482,ENSMUSG00000030397
ENSMUSG00000010051,ENSMUSG00000053600
ENSMUSG00000032724,ENSMUSG00000061111
ENSMUSG00000070576,ENSMUSG00000051934
ENSMUSG00000110195,ENSMUSG00000020397
ENSMUSG00000050777,ENSMUSG00000110275
ENSMUSG00000029516,ENSMUSG00000045176
ENSMUSG00000024299,ENSMUSG00000027433
