#1.2										
16672	9									
NAME	DESCRIPTION	S89	S88	S87	S84	S85	S83	S117	S116	S115
ENSMUSG00000001175	na	13380.3	17230.6	12713.9	12135.9	12426.2	12231.6	13129.3	13203.6	12376.1
ENSMUSG00000001211	na	5054.58	5172.33	7728.6	13613.7	16147.9	8546.73	15154.4	9094.09	15155.2
ENSMUSG00000001227	na	2815.71	1574.05	2409.18	397.371	502.186	5612.58	795.677	3038.25	383.761
ENSMUSG00000001228	na	31.9623	46.7536	30.8079	16.4326	21.3048	35.0347	44.2044	39.4823	31.98
ENSMUSG00000001229	na	20462.1	15413.3	12448.8	5324.35	6744.63	13576.7	11314.4	13277.5	5289.13
ENSMUSG00000001240	na	45.7637	350.564	45.1862	234.702	339.414	159.433	458.191	35.7233	247.639
ENSMUSG00000001247	na	11158.9	12068.8	19582.6	15804.6	13424.6	17219	9533.57	10962.8	10406.4
ENSMUSG00000001248	na	1628.55	1619.07	1963.49	1081.57	1015.02	1709.7	1126.54	1740.98	1041.44
ENSMUSG00000001249	na	8702.95	11917.4	17826.6	27432.9	26931.3	19602.7	20566.2	12991.2	25034
ENSMUSG00000001270	na	12.1761	40.1057	26.7002	163.47	162.307	30.9726	155.819	15.0925	289.738
ENSMUSG00000001280	na	7069.78	3268.14	6258.1	3078.88	3471.19	4960.91	2996.53	5965.55	2796.17
ENSMUSG00000001281	na	27.3962	103.536	57.508	29.8775	42.6097	29.7795	96.4459	33.842	111.235
ENSMUSG00000001285	na	1142.21	1620.86	911.83	1073.08	840.872	976.527	881.624	867.748	892.412
ENSMUSG00000001288	na	42.6163	141.049	59.5619	215.118	231.309	63.0624	273.263	48.8828	228.032
ENSMUSG00000001289	na	2240.9	3113.36	2183.47	2368.46	2238.56	3136.81	2298.26	2352.54	2365.86
ENSMUSG00000001300	na	141.547	102.036	80.1005	65.7305	91.3064	126.125	282.64	201.172	143.215
ENSMUSG00000001305	na	952.776	658.733	1160.43	778.309	786.758	1206.94	482.229	1440.16	583.984
ENSMUSG00000001313	na	115.673	198.069	262.894	509.412	494.575	558.804	575.886	274.496	820.277
ENSMUSG00000001323	na	1456.57	1829.13	3251.26	5222.59	5968.45	3365.09	4723.17	2476.1	6047.09
ENSMUSG00000001348	na	7544.58	6749.11	9566.62	5965.15	5901.36	11473.6	3672.92	9731.72	4696.82
ENSMUSG00000001366	na	1395.68	1099.88	1587.63	3374.67	3807.46	1362.85	3639.49	2021.12	3377.36
ENSMUSG00000001376	na	1388.08	946.828	1072.11	717.061	721.321	1047.54	668.424	1013.38	695.219
ENSMUSG00000001380	na	4538.65	4138.45	3910.54	2614.29	2437.88	3086.56	2297.29	4239.65	2265.02
ENSMUSG00000001383	na	1596.59	2454.87	2228.44	2095.91	1908.31	2282.51	1624.84	1861.31	1763.08
ENSMUSG00000001403	na	62.4025	84.0294	82.1543	52.2856	48.6968	108.607	20.0929	127.847	52.8366
ENSMUSG00000001415	na	3255.59	3016.06	3696.95	2957.87	3127.26	2692.42	3047.41	2692.31	2748.89
ENSMUSG00000001416	na	9692.14	9103.56	9262.87	7536.59	6523.71	8907.51	6417.59	9334.75	5995.61
ENSMUSG00000001418	na	4552.34	4279.5	4730.03	3928.89	3670.52	4328.53	3587.25	3666.2	3624.88
ENSMUSG00000001419	na	2852.27	2418.83	2140.13	2441	2288.75	3359.84	2756.73	3209.35	2518.1
ENSMUSG00000001420	na	56.3145	78.0273	53.4003	135.943	149.134	61.3107	141.99	45.1226	111.235
ENSMUSG00000001424	na	13014.8	10292.3	12581.7	10242.2	9673.85	10573.7	11082.3	12011.9	10121.2
ENSMUSG00000001435	na	26724.6	14854.3	35114.6	52154.9	52293.1	47005.5	52181.5	39802.6	47671.9
ENSMUSG00000001436	na	92.8428	228.08	283.433	374.962	357.617	385.381	361.672	238.774	392.103
ENSMUSG00000001440	na	11526.2	8851.63	8819.26	7328.92	7896.49	6952.65	6795.41	5969.33	6528.11
ENSMUSG00000001441	na	3570.64	2190.77	2741.9	1897.22	1864.17	2525.99	2066.89	3092.77	1810.35
ENSMUSG00000001444	na	33.4843	58.5205	12.3231	5.9755	6.08709	17.5173	9.37669	43.2425	8.34262
ENSMUSG00000001445	na	2686.35	3770.82	3101.33	3144.61	2920.28	2925.39	2628.15	2857.77	2890.72
ENSMUSG00000001467	na	8007.29	10191.6	15979	9699.75	14006.4	9748.4	9079.3	8451.08	12373.5
ENSMUSG00000001472	na	15163.9	11789.5	13929.1	11009.9	11107.4	13474.2	12184.3	15313.4	11454.5
ENSMUSG00000001473	na	6681.63	2857	4939.53	407.828	423.053	6371.05	676.461	6435.61	355.952
ENSMUSG00000001482	na	488.565	1835.14	955.042	2902.62	2911.14	944.184	2577.23	851.69	3051.98
