#1.2																
20399	15															
NAME	DESCRIPTION	S1	S5	S40	S41	S6	S7	S34	S36	S38	S2	S3	S39	S33	S35	S37
ENSMUSG00000001014	na	44.3619	38.7289	34.2562	23.9353	11.0195	77.0855	26.0417	55.3954	71.725	31.2467	38.7369	27.7084	34.8503	24.8075	19.6355
ENSMUSG00000001016	na	2937.89	2538.58	2522.1	2347.58	2040.98	3142.1	3697.92	2651.4	2694.44	2349.99	1827.09	2153.78	2235.92	1847.86	2117.95
ENSMUSG00000001017	na	6289.17	5304.96	5379.64	5800.07	5526.28	6520.75	6362.08	5877.11	6127.69	5688.2	5364.27	5674.07	5395.61	5138.36	4929.15
ENSMUSG00000001018	na	1450.56	1419.13	1409.5	1930.37	1559.27	1311.33	2436.92	1947.96	1473.22	2124.76	2081.3	1944.34	2479.16	1840.2	2442.25
ENSMUSG00000001020	na	1204.47	2118.09	2980.6	870.729	745.392	832.174	760.218	831.691	1004.15	1074.11	652.072	995.479	588.355	550.218	617.505
ENSMUSG00000001021	na	13.3923	14.7539	4.99569	10.9973	7.08398	9.63569	15.024	5.31189	3.80841	20.1802	13.7193	12.8405	21.8669	13.994	11.5105
ENSMUSG00000001025	na	17003.3	10173.3	11686.8	8281.33	6083.82	11224.8	11077.5	7445.49	10718.1	15834.3	5645.04	10896.4	8037.65	5271.91	7791.12
ENSMUSG00000001027	na	18.4144	75.6136	41.3929	9.05662	13.3808	26.2792	24.0385	59.9484	51.4135	26.6899	27.4386	17.5712	108.651	42.618	21.6668
ENSMUSG00000001029	na	1263.9	1337.07	1687.12	2549.42	3273.61	637.707	446.715	1496.43	1841.37	3080.4	4127.1	3229.78	2764.11	3797.46	3239.17
ENSMUSG00000001034	na	885.567	1490.14	1401.64	1159.24	1199.56	1200.08	1025.65	1211.11	1398.34	910.061	1062.85	1102.93	1143.23	1033.64	1209.96
ENSMUSG00000001036	na	2619.01	2201.98	2146.67	4767.85	5914.95	2885.46	1857.96	2788.7	3190.94	4048.3	5428.59	5145.64	4087.68	5526.2	4193.22
ENSMUSG00000001039	na	264.498	159.526	122.751	196.011	133.808	385.428	535.857	191.228	200.576	353.478	283.263	266.947	425.722	199.732	350.731
ENSMUSG00000001052	na	2727.84	3585.15	3418.52	3014.5	3366.48	3725.5	3870.18	3674.36	3611.01	2653.33	3061.86	2839.79	2733.36	3191.31	2702.92
ENSMUSG00000001053	na	228.506	493.332	494.574	681.834	917.769	331.994	184.295	223.858	450.661	955.628	1087.86	1227.96	728.441	1128.42	683.859
ENSMUSG00000001054	na	615.208	774.577	837.844	718.061	765.068	572.887	639.023	642.736	658.222	859.942	861.894	804.22	874.681	755.043	780.005
ENSMUSG00000001056	na	1300.73	1386.87	1218.95	377.143	457.309	1302.57	2097.34	928.818	1242.19	589.13	374.457	520.377	520.705	368.296	371.721
ENSMUSG00000001062	na	745.782	1006.03	954.889	883.023	860.313	482.661	650.039	723.175	736.925	774.007	924.843	899.511	923.191	895.616	896.464
ENSMUSG00000001065	na	997.725	1124.06	1161.86	1438.71	1286.13	761.221	891.427	1155.71	1032.08	1215.36	1391.3	1263.11	1313.38	1352.32	1545.12
