#1.2							
20399	6						
Name	Description	S39	S3	S2	S35	S37	S33
ENSMUSG00000001829	na	688.655	703.72	619.726	691.428	587.712	755.773
ENSMUSG00000001833	na	6811.79	7379.33	7888.76	6844.03	6913.96	6507.65
ENSMUSG00000001844	na	963.035	899.823	947.16	809.742	834.172	933.44
ENSMUSG00000001847	na	16543.2	16721.8	15808.3	15550.5	13032.6	13032.8
ENSMUSG00000001855	na	1138.07	1392.92	902.9	1564.8	1106.36	984.694
ENSMUSG00000001864	na	84.4769	133.158	85.2775	103.047	88.0214	297.253
ENSMUSG00000001870	na	3160.84	3153.81	3159.11	3174.63	2803.19	2969.78
ENSMUSG00000001891	na	2597.81	2493.67	2564.18	2532.85	2276.37	2552.98
ENSMUSG00000001909	na	1009.67	1044.28	951.721	1003.11	1052.87	1188.33
ENSMUSG00000001910	na	2636.76	2713.47	2121.45	2847.88	2187.96	2211.59
ENSMUSG00000001911	na	4241.42	4937.32	3871.33	4892.84	4730.83	4672.69
ENSMUSG00000001918	na	9252.77	9092.13	9156.99	8291.52	12114.1	10475.1
ENSMUSG00000001924	na	4065.75	4916.53	2766.62	6017.88	3744.38	3841.63
ENSMUSG00000001930	na	15145.1	17580.2	7314.14	20962.6	12637	9173.1
ENSMUSG00000001942	na	514.973	618.983	500.598	556.578	480.735	474.92
ENSMUSG00000001943	na	819.09	789.264	890.531	686.34	885.628	834.356
ENSMUSG00000001946	na	9872.68	7991.89	8475.69	8223.62	7668.66	6756.87
ENSMUSG00000001948	na	280.463	276	492.787	236.626	479.379	554.871
ENSMUSG00000001962	na	889.376	950.674	878.803	880.351	858.545	827.526
ENSMUSG00000001964	na	1102.29	1104.99	1174.43	1064.1	1069.49	1174.28
ENSMUSG00000001983	na	177.064	192.07	126.94	189.555	140.157	131.201
ENSMUSG00000001986	na	1430.03	1425.19	1337.1	1617.59	1568.82	1345.49
ENSMUSG00000001995	na	2936.39	3293.36	2239.98	3401.23	2525.56	2266.69
ENSMUSG00000001998	na	548.763	645.614	325.486	740.409	686.566	603.39
ENSMUSG00000001999	na	485.236	475.334	533.797	393.104	402.19	537.106
ENSMUSG00000002006	na	192.607	171.895	205.708	223.903	184.168	220.035
ENSMUSG00000002007	na	27.7084	62.9474	49.4739	40.7097	44.6878	64.9173
ENSMUSG00000002010	na	1692.24	1870.65	1606.59	1828.75	1979.11	2022.7
ENSMUSG00000002012	na	34.4666	37.1228	52.0778	41.9819	52.1358	82.6841
ENSMUSG00000002014	na	1343.52	1130.63	1314.97	1057.82	1348.08	1441.85
ENSMUSG00000002015	na	4805.04	4202.15	5567.77	3830.53	4642.79	5084.05
ENSMUSG00000002017	na	1311.08	1246.04	1296.1	1177.4	1227.57	1181.49
