#1.2							
19067	6						
Name	Description	S78	S76	S74	S80	S43	S44
ENSMUSG00000002043	na	525.674	476.213	481.422	560.204	703.326	571.599
ENSMUSG00000002052	na	3221.85	3312.06	3780.43	3747.34	3279.56	3706.64
ENSMUSG00000002055	na	256.14	294.273	531.979	542.052	137.543	162.725
ENSMUSG00000002058	na	143.137	162.643	172.044	195.535	104.377	111.23
ENSMUSG00000002059	na	1582.04	1195.7	1347.69	1372.05	1981.23	1835.29
ENSMUSG00000002064	na	1922.73	1906.92	1703.07	1821.69	1989.98	1866.19
ENSMUSG00000002068	na	11.7188	11.0266	22.6374	37.9519	14.6323	23.6878
ENSMUSG00000002076	na	210.102	170.913	132.806	171.609	303.376	293.524
ENSMUSG00000002083	na	82.869	124.739	105.641	176.559	72.1858	93.7215
ENSMUSG00000002100	na	4.1853	1.37833	1.50916	1.65008	0.975484	3.08972
ENSMUSG00000002102	na	5255	4611.2	4395.37	4930.46	5767.13	5610.95
ENSMUSG00000002103	na	2018.17	1818.7	1831.36	1577.48	2015.36	1935.18
ENSMUSG00000002104	na	123.048	111.645	89.7951	54.4528	90.72	106.08
ENSMUSG00000002105	na	1614.69	1437.6	1342.41	1183.93	1315.93	1354.32
ENSMUSG00000002107	na	482.982	571.318	975.674	679.832	306.301	558.21
ENSMUSG00000002108	na	1776.24	1462.4	1512.17	1488.38	2010.47	2029.94
ENSMUSG00000002109	na	473.776	502.401	363.708	279.689	351.174	352.228
ENSMUSG00000002111	na	71.1502	55.1332	76.9672	79.204	40.9703	70.0336
ENSMUSG00000002129	na	1388.68	1445.18	1618.57	1611.31	1594.91	1532.5
ENSMUSG00000002147	na	2888.69	2880.01	2863.63	3055.96	3496.13	3372.96
ENSMUSG00000002204	na	146782	100703	84608.5	60694.9	83718.4	76222.7
ENSMUSG00000002205	na	1387.84	1367.3	1211.85	1356.37	1764.65	1690.07
ENSMUSG00000002210	na	646.21	606.468	532.735	575.878	631.139	558.209
ENSMUSG00000002221	na	1042.14	962.762	928.135	924.047	953.048	993.859
ENSMUSG00000002222	na	5752.28	5752.46	5417.14	5344.67	5802.18	5809.76
ENSMUSG00000002227	na	663.765	555.43	676.855	702.096	906.213	811.548
ENSMUSG00000002228	na	45.2013	37.9041	49.8023	117.156	64.3819	70.0336
ENSMUSG00000002233	na	1015.35	1283.23	1349.95	1641.03	1749.04	1743.62
ENSMUSG00000002249	na	832.879	893.162	794.573	874.542	744.294	695.187
