#1.2										
20399	9									
Name	Description	S41	S40	S5	S1	S6	S7	S34	S36	S38
ENSMUSG00000001249	na	451.536	486.722	532.061	816.929	325.076	738.444	1297.08	829.416	662.027
ENSMUSG00000001270	na	758.314	586.137	650.112	1286.57	555.722	806.486	1580.12	826.885	665.9
ENSMUSG00000001280	na	3816.07	4257.76	3979.86	3252.66	4365.29	4092.56	3377.4	4285.19	4370.79
ENSMUSG00000001281	na	683.776	967.022	735.849	386.702	639.919	297.831	200.321	356.655	450.026
ENSMUSG00000001285	na	828.212	599.199	520.223	639.89	584.582	637.021	624.443	516.236	602.694
ENSMUSG00000001288	na	2971.28	1299.58	1106.54	953.36	2569.91	789.249	920.479	1189.09	1285.97
ENSMUSG00000001289	na	3338.21	2892.43	2663.06	4549.59	2205.15	3054.03	4449.33	3025.45	3472.23
ENSMUSG00000001300	na	7665.14	5179.1	4549.73	3840.24	6381.05	1733.55	1547.48	5100.18	4121.96
ENSMUSG00000001305	na	182.426	575.931	710.955	568.334	366.793	727.929	525.842	468.207	476.685
ENSMUSG00000001313	na	186.954	128.444	113.42	265.335	114.131	64.822	167.267	179.086	135.198
ENSMUSG00000001323	na	694.774	415.356	450.915	402.607	807.574	457.257	320.513	500.835	563.012
ENSMUSG00000001333	na	13.5849	9.99139	35.9625	17.5774	13.3808	46.4265	16.0256	35.6655	24.7546
ENSMUSG00000001334	na	51.1052	124.179	693.429	63.6133	35.4199	376.667	249.399	516.768	352.277
ENSMUSG00000001348	na	463.182	1567.95	1335.22	546.571	1006.71	1070.44	608.972	841.548	1037.17
ENSMUSG00000001349	na	926.362	710.102	1453.25	1352.62	497.453	1552.22	3695.93	1943.4	924.807
ENSMUSG00000001366	na	1156.66	870.677	851.113	816.929	1479.77	948.678	708.135	868.87	875.299
ENSMUSG00000001376	na	1034.39	795.743	833.594	1217.02	922.49	1089.71	1226.96	973.595	881.644
ENSMUSG00000001380	na	1414.77	1998.99	2005.6	1875.75	1399.48	2147.88	1916.07	1759.75	1972.12
ENSMUSG00000001383	na	2233.11	2428.6	2413.17	3369.86	1686.76	3025.58	3180.08	2519.34	2887.36
ENSMUSG00000001403	na	233.531	746.502	668.535	313.035	256.597	543.104	265.425	314.919	319.271
ENSMUSG00000001415	na	1738.22	2211.66	2237.05	1747.69	2081.11	1900.86	1656.65	1630.75	1824.87
ENSMUSG00000001416	na	2730.56	4827.27	5181.4	4058.65	3442	5467.7	4116.61	3921.61	4444.3
ENSMUSG00000001418	na	2786.85	1930.48	1937.37	1720.08	2602.19	1742.31	1332.13	1570.81	1913.73
ENSMUSG00000001419	na	5280.12	6347.4	6706.76	4244.49	5384.52	4533.08	4720.52	6154.17	5914.31
ENSMUSG00000001420	na	223.181	242.648	196.411	283.749	207.01	207.606	383.613	208.681	212.002
ENSMUSG00000001424	na	2425.25	3733.99	3940.18	3094.49	3392.43	4116.26	2541.06	2728.05	2862.71
ENSMUSG00000001435	na	783.401	859.256	1129.59	693.048	1164.13	783.117	514.822	1105.64	1223.77
ENSMUSG00000001436	na	101.564	206.251	227.763	136.434	188.119	266.296	137.22	128.244	144.085
ENSMUSG00000001440	na	6260.69	8292.12	7802.06	5573.72	7614.49	8127.27	6121.77	6767.3	7504.49
ENSMUSG00000001441	na	4790.33	4271.3	4333.01	3562.34	3659.26	5250.54	5333.53	4234.32	4308.54
ENSMUSG00000001444	na	54.3397	119.897	96.8222	29.2956	136.957	71.8297	26.0417	83.4725	116.791
ENSMUSG00000001445	na	1075.8	1025.54	1012.48	1299.89	990.183	1238.62	1286.06	974.352	1084.13
ENSMUSG00000001467	na	1140.49	1905.5	1823.02	1170.99	963.421	2180.3	1040.67	890.12	1520.82
ENSMUSG00000001472	na	12262.1	12146.1	11125.1	10264.1	10061.7	9361.91	12688.4	12520.6	10936.8
ENSMUSG00000001473	na	344.798	2211.66	3379.56	818.603	1029.54	3171.9	1622.6	1467.6	2114.3
ENSMUSG00000001482	na	566.04	820.004	736.77	588.425	612.368	491.42	366.586	657.156	642.351
ENSMUSG00000001493	na	377.143	314.015	374.379	283.749	468.33	446.746	270.433	503.112	637.273
ENSMUSG00000001496	na	11090.3	5209.47	4275.95	6192.79	6313.99	3752.75	5951.19	5193.18	5356.19
ENSMUSG00000001504	na	2733.78	1985.44	1682.87	2646.65	1615.93	1539.09	2559.09	2012.44	1741.72
ENSMUSG00000001506	na	4543.83	3103.75	3257.84	5044.7	4784.04	2692.74	3036.86	4600.09	3116.55
ENSMUSG00000001507	na	7007.12	11381.9	11053	7348.06	14799.6	8759.7	9764.51	9162.65	10903.7
